UT,AU,AF
WOS:000988607500001,"Guarnieri, E; Tur-Prats, A","Guarnieri, Eleonora; Tur-Prats, Ana"
WOS:000868979600001,"Smith, M; Zidar, O; Zwick, E","Smith, Matthew; Zidar, Owen; Zwick, Eric"
WOS:000813226900001,"Cai, J; Wang, SY","Cai, Jing; Wang, Shing-Yi"
WOS:000784752700001,"Adao, R; Carrillo, P; Costinot, A; Donaldson, D; Pomeranz, D","Adao, Rodrigo; Carrillo, Paul; Costinot, Arnaud; Donaldson, Dave; Pomeranz, Dina"
WOS:000642334600003,"Gopinath, G; Stein, JC","Gopinath, Gita; Stein, Jeremy C."
WOS:000612198000011,"Kim, R","Kim, Ryan"
WOS:000489163400003,"Allcott, H; Diamond, R; Dubé, JP; Handbury, J; Rahkovsky, I; Schnell, M","Allcott, Hunt; Diamond, Rebecca; Dube, Jean-Pierre; Handbury, Jessie; Rahkovsky, Ilya; Schnell, Molly"
WOS:000489161300005,"Chodorow-Reich, G; Coglianese, J; Karabarbounis, L","Chodorow-Reich, Gabriel; Coglianese, John; Karabarbounis, Loukas"
WOS:000435871300001,"Piketty, T; Saez, E; Zucman, G","Piketty, Thomas; Saez, Emmanuel; Zucman, Gabriel"
WOS:000423802600008,"Alsan, M; Wanamaker, M","Alsan, Marcella; Wanamaker, Marianne"
WOS:000412764300005,"Mian, A; Sufi, A; Verner, E","Mian, Atif; Sufi, Amir; Verner, Emil"
WOS:000406177000010,"Polborn, MK; Snyder, JM","Polborn, Mattias K.; Snyder, James M., Jr."
WOS:000383326100010,"Barrot, JN; Sauvagnat, J","Barrot, Jean-Noel; Sauvagnat, Julien"
WOS:000383326100004,"Spiegler, R","Spiegler, Ran"
WOS:000359638900007,"Bursztyn, L; Jensen, R","Bursztyn, Leonardo; Jensen, Robert"
WOS:000359638900008,"Gabaix, X; Maggiori, M","Gabaix, Xavier; Maggiori, Matteo"
WOS:000354733000001,"Michaillat, P; Saez, E","Michaillat, Pascal; Saez, Emmanuel"
WOS:000346660500004,"Dahl, GB; Kostol, AR; Mogstad, M","Dahl, Gordon B.; Kostol, Andreas Ravndal; Mogstad, Magne"
WOS:000999692200001,"Beraja, M; Kao, AD; Yang, DY; Yuchtman, N","Beraja, Martin; Kao, Andrew; Yang, David Y.; Yuchtman, Noam"
WOS:000986383900001,"Korting, C; Lieberman, C; Matsudaira, J; Pei, Z; Shen, Y","Korting, Christina; Lieberman, Carl; Matsudaira, Jordan; Pei, Zhuan; Shen, Yi"
WOS:000743312400004,"Frydman, C; Jin, LJ","Frydman, Cary; Jin, Lawrence J."
WOS:000728439200002,"Lowes, S; Montero, E","Lowes, Sara; Montero, Eduardo"
WOS:000612198000006,"Bryan, G; Choi, JJ; Karlan, D","Bryan, Gharad; Choi, James J.; Karlan, Dean"
WOS:000612198000008,"Cameron, L; Seager, J; Shah, M","Cameron, Lisa; Seager, Jennifer; Shah, Manisha"
WOS:000612198000005,"Lian, C; Ma, YR","Lian, Chen; Ma, Yueran"
WOS:000507362800004,"Coibion, O; Gorodnichenko, Y; Ropele, T","Coibion, Olivier; Gorodnichenko, Yuriy; Ropele, Tiziano"
WOS:000489163400007,"DellaVigna, S; Gentzkow, M","DellaVigna, Stefano; Gentzkow, Matthew"
WOS:000451281400006,"Nakamura, E; Steinsson, J; Sun, P; Villar, D","Nakamura, Emi; Steinsson, Jon; Sun, Patrick; Villar, Daniel"
WOS:000423802600006,"Farhi, E; Maggiori, M","Farhi, Emmanuel; Maggiori, Matteo"
WOS:000359638900002,"Augenblick, N; Niederle, M; Sprenger, C","Augenblick, Ned; Niederle, Muriel; Sprenger, Charles"
WOS:000359638900006,"Edelman, B; Wright, J","Edelman, Benjamin; Wright, Julian"
WOS:000354733000006,"Aizer, A; Doyle, JJ","Aizer, Anna; Doyle, Joseph J., Jr."
WOS:000346660500006,"Autor, DH; Dorn, D; Hanson, GH; Song, J","Autor, David H.; Dorn, David; Hanson, Gordon H.; Song, Jae"
WOS:000346660500008,"Hjort, J","Hjort, Jonas"
WOS:000330451700007,"Kline, P; Moretti, E","Kline, Patrick; Moretti, Enrico"
WOS:000642334600011,"Rose, EK","Rose, Evan K."
WOS:000544015700001,"De Loecker, J; Eeckhout, J; Unger, G","De Loecker, Jan; Eeckhout, Jan; Unger, Gabriel"
WOS:000451281400010,"Shi, SY; Delacroix, A","Shi, Shouyong; Delacroix, Alain"
WOS:000412764300002,"Deming, DJ","Deming, David J."
WOS:000412764300006,"Drechsler, I; Savov, A; Schnabl, P","Drechsler, Itamar; Savov, Alexi; Schnabl, Philipp"
WOS:000412764300010,"Larcom, S; Rauch, F; Willems, T","Larcom, Shaun; Rauch, Ferdinand; Willems, Tim"
WOS:000401981500008,"Cravino, J; Levchenko, AA","Cravino, Javier; Levchenko, Andrei A."
WOS:000388576700008,"Belloc, M; Drago, F; Galbiati, R","Belloc, Marianna; Drago, Francesco; Galbiati, Roberto"
WOS:000365535400005,"Akerman, A; Gaarder, I; Mogstad, M","Akerman, Anders; Gaarder, Ingvil; Mogstad, Magne"
WOS:000359638900001,"Muralidharan, K; Sundararaman, V","Muralidharan, Karthik; Sundararaman, Venkatesh"
WOS:000342236000007,"Fryer, RG","Fryer, Roland G., Jr."
WOS:000330451700009,"Cascio, EU; Washington, E","Cascio, Elizabeth U.; Washington, Ebonya"
WOS:000330451700003,"Kuziemko, I; Buell, RW; Reich, T; Norton, MI","Kuziemko, Ilyana; Buell, Ryan W.; Reich, Taly; Norton, Michael I."
WOS:000763961400001,"Alpert, A; Evans, WN; Lieber, EMJ; Powell, D","Alpert, Abby; Evans, William N.; Lieber, Ethan M. J.; Powell, David"
WOS:000728439200011,"Guriev, S; Melnikov, N; Zhuravskaya, E","Guriev, Sergei; Melnikov, Nikita; Zhuravskaya, Ekaterina"
WOS:000489163400005,"Liu, E","Liu, Ernest"
WOS:000451281400004,"Mertens, K; Olea, JLM","Mertens, Karel; Olea, Jose Luis Montiel"
WOS:000406177000007,"López-Salido, D; Stein, JC; Zakrajsek, E","Lopez-Salido, David; Stein, Jeremy C.; Zakrajsek, Egon"
WOS:000354733000002,"Bertrand, M; Kamenica, E; Pan, J","Bertrand, Marianne; Kamenica, Emir; Pan, Jessica"
WOS:000351525000009,"Atkeson, A; Hellwig, C; Ordoñez, G","Atkeson, Andrew; Hellwig, Christian; Ordonez, Guillermo"
WOS:000336146600009,"Gollin, D; Lagakos, D; Waugh, ME","Gollin, Douglas; Lagakos, David; Waugh, Michael E."
WOS:000935190200001,"Guvenen, F; Kambourov, G; Kuruscu, B; Ocampo, S; Chen, DP","Guvenen, Fatih; Kambourov, Gueorgui; Kuruscu, Burhan; Ocampo, Sergio; Chen, Daphne"
WOS:000728439200001,"Michalopoulos, S; Xue, MM","Michalopoulos, Stelios; Xue, Melanie Meng"
WOS:000672777600009,"Miller, S; Johnson, N; Wherry, LR","Miller, Sarah; Johnson, Norman; Wherry, Laura R."
WOS:000507362800002,"Chodorow-Reich, G; Gopinath, G; Mishra, P; Narayanan, A","Chodorow-Reich, Gabriel; Gopinath, Gita; Mishra, Prachi; Narayanan, Abhinav"
WOS:000507362800010,"Redding, SJ; Weinstein, DE","Redding, Stephen J.; Weinstein, David E."
WOS:000489161300001,"Song, J; Price, DJ; Guvenen, F; Bloom, N; Von Wachter, T","Song, Jae; Price, David J.; Guvenen, Fatih; Bloom, Nicholas; Von Wachter, Till"
WOS:000451281400005,"Arnold, D; Dobbie, W; Yang, CS","Arnold, David; Dobbie, Will; Yang, Crystal S."
WOS:000406177000003,"Goldschmidt, D; Schmieder, JF","Goldschmidt, Deborah; Schmieder, Johannes F."
WOS:000383326100002,"Fajgelbaum, PD; Khandelwal, AK","Fajgelbaum, Pablo D.; Khandelwal, Amit K."
WOS:000365535400001,"Budish, E; Cramton, P; Shim, J","Budish, Eric; Cramton, Peter; Shim, John"
WOS:000359638900010,"Jha, S","Jha, Saumitra"
WOS:000354733000007,"Burks, SV; Cowgill, B; Hoffman, M; Housman, M","Burks, Stephen V.; Cowgill, Bo; Hoffman, Mitchell; Housman, Michael"
WOS:000346660500007,"Eyster, E; Rabin, M","Eyster, Erik; Rabin, Matthew"
WOS:000342236000010,"Caron, J; Fally, T; Markusen, JR","Caron, Justin; Fally, Thibault; Markusen, James R."
WOS:000330451700005,"Vavra, J","Vavra, Joseph"
WOS:001011152200001,"Donovan, K; Lu, WJ; Schoellman, T","Donovan, Kevin; Lu, Will Jianyu; Schoellman, Todd"
WOS:000847148900001,"Cullen, Z; Dobbie, W; Hoffman, M","Cullen, Zoe; Dobbie, Will; Hoffman, Mitchell"
WOS:000836097700001,"KLINE, P; ROSE, EK; WALTERS, CR","KLINE, P. A. T. R. I. C. K.; ROSE, E. V. A. N. K.; WALTERS, C. H. R. I. S. T. O. P. H. E. R. R."
WOS:000815161100001,"Carleton, T; Jina, A; Delgado, M; Greenstone, M; Houser, T; Hsiang, SL; Hultgren, A; Kopp, RE; McCusker, KE; Nath, I; Rising, J; Rode, A; Seo, HK; Viaene, A; Yuan, JC; Zhang, AT","Carleton, Tamma; Jina, Amir; Delgado, Michael; Greenstone, Michael; Houser, Trevor; Hsiang, Solomon; Hultgren, Andrew; Kopp, Robert E.; McCusker, Kelly E.; Nath, Ishan; Rising, James; Rode, Ashwin; Seo, Hee Kwon; Viaene, Arvid; Yuan, Jiacan; Zhang, Alice Tianbo"
WOS:000770412500001,"Amiti, M; Itskhoki, O; Konings, J","Amiti, Mary; Itskhoki, Oleg; Konings, Jozef"
WOS:000764048500001,"DellaVigna, S; Heining, J; Schmieder, JF; Trenkle, S","DellaVigna, Stefano; Heining, Joerg; Schmieder, Johannes F.; Trenkle, Simon"
WOS:000777482200001,"Angrist, J; Autor, D; Pallais, A","Angrist, Joshua; Autor, David; Pallais, Amanda"
WOS:000489162100009,"Cantoni, D; Yang, DY; Yuchtman, N; Zhang, YJ","Cantoni, Davide; Yang, David Y.; Yuchtman, Noam; Zhang, Y. Jane"
WOS:000451281400001,"Falk, A; Becker, A; Dohmen, T; Enke, B; Huffman, D; Sunde, U","Falk, Armin; Becker, Anke; Dohmen, Thomas; Enke, Benjamin; Huffman, David; Sunde, Uwe"
WOS:000383326100007,"Araujo, MC; Carneiro, P; Cruz-Aguayo, Y; Schady, N","Araujo, M. Caridad; Carneiro, Pedro; Cruz-Aguayo, Yyannu; Schady, Norbert"
WOS:000371602500008,"Boffa, F; Piolatto, A; Ponzetto, GAM","Boffa, Federico; Piolatto, Amedeo; Ponzetto, Giacomo A. M."
WOS:000365535400003,"Bronnenberg, BJ; Dubé, JP; Gentzkow, M; Shapiro, JM","Bronnenberg, Bart J.; Dube, Jean-Pierre; Gentzkow, Matthew; Shapiro, Jesse M."
WOS:000336146600007,"Cantoni, D; Yuchtman, N","Cantoni, Davide; Yuchtman, Noam"
WOS:000330451700001,"Chodorow-Reich, G","Chodorow-Reich, Gabriel"
WOS:000330451700002,"Karabarbounis, L; Neiman, B","Karabarbounis, Loukas; Neiman, Brent"
WOS:000986374800001,"Bilal, A","Bilal, Adrien"
WOS:000935187000001,"Buggle, J; Mayer, T; Sakalli, SO; Thoenig, M","Buggle, Johannes; Mayer, Thierry; Sakalli, Seyhun Orcan; Thoenig, Mathias"
WOS:000793034100001,"Xu, CZ","Xu, Chenzi"
WOS:000770112400001,"Alvarez, F; Argente, D","Alvarez, Fernando; Argente, David"
WOS:000642334600002,"Bhandari, A; McGrattan, ER","Bhandari, Anmol; McGrattan, Ellen R."
WOS:000612198000007,"Le Barbanchon, T; Rathelot, R; Roulet, A","Le Barbanchon, Thomas; Rathelot, Roland; Roulet, Alexandra"
WOS:000489162800002,"Carlana, M","Carlana, Michela"
WOS:000401981500009,"Levine, R; Rubinstein, Y","Levine, Ross; Rubinstein, Yona"
WOS:000371602500005,"Khan, AQ; Khwaja, AI; Olken, BA","Khan, Adnan Q.; Khwaja, Asim I.; Olken, Benjamin A."
WOS:000875748600001,"Grosjean, P; Masera, F; Yousaf, H","Grosjean, Pauline; Masera, Federico; Yousaf, Hasin"
WOS:000864359300001,"Bordalo, P; Conlon, JJ; Gennaioli, N; Kwon, SY; Shleifer, A","Bordalo, Pedro; Conlon, John J.; Gennaioli, Nicola; Kwon, Spencer Y.; Shleifer, Andrei"
WOS:000763959600001,"Lanzani, G","Lanzani, Giacomo"
WOS:000612198000009,"Barron, D; Guo, YN","Barron, Daniel; Guo, Yingni"
WOS:000593217300010,"Behrens, K; Mion, G; Murata, Y; Suedekum, J","Behrens, Kristian; Mion, Giordano; Murata, Yasusada; Suedekum, Jens"
WOS:000593217300004,"Deming, DJ; Noray, K","Deming, David J.; Noray, Kadeem"
WOS:000544015700007,"Fajgelbaum, PD; Gaubert, C","Fajgelbaum, Pablo D.; Gaubert, Cecile"
WOS:000507362800008,"Liang, AN; Mu, XS","Liang, Annie; Mu, Xiaosheng"
WOS:000489163400010,"Coffman, LC; Conlon, JJ; Featherstone, CR; Kessler, JB","Coffman, Lucas C.; Conlon, John J.; Featherstone, Clayton R.; Kessler, Judd B."
WOS:000451280400007,"Bayer, P; Charles, KK","Bayer, Patrick; Charles, Kerwin Kofi"
WOS:000412764300004,"Heathcote, J; Storesletten, K; Violante, GL","Heathcote, Jonathan; Storesletten, Kjetil; Violante, Giovanni L."
WOS:000365535400008,"Lewis, RA; Rao, JM","Lewis, Randall A.; Rao, Justin M."
WOS:000346660500009,"Yanagizawa-Drott, D","Yanagizawa-Drott, David"
WOS:001051517900001,"Christensen, P; Timmins, C","Christensen, Peter; Timmins, Christopher"
WOS:000813230500001,"BYRNE, DP; MARTIN, LA; NAH, JS","BYRNE, D. A. V. I. D. P.; MARTIN, L. E. S. L. I. E. A.; NAH, J. I. A. S. H. E. E. N."
WOS:000770415300001,"Avenancio-León, CF; Howard, T","Avenancio-Leon, Carlos F.; Howard, Troup"
WOS:000642334600005,"Marinescu, I; Skandalis, D","Marinescu, Ioana; Skandalis, Daphne"
WOS:000672777600011,"Bessone, P; Rao, G; Schilbach, F; Schofield, H; Toma, M","Bessone, Pedro; Rao, Gautam; Schilbach, Frank; Schofield, Heather; Toma, Mattie"
WOS:000642334600008,"Kehrig, M; Vincent, N","Kehrig, Matthias; Vincent, Nicolas"
WOS:000593217300002,"Weigel, JL","Weigel, Jonathan L."
WOS:000544017700007,"Chetty, R; Friedman, JN; Saez, E; Turner, N; Yagan, D","Chetty, Raj; Friedman, John N.; Saez, Emmanuel; Turner, Nicholas; Yagan, Danny"
WOS:000544017700001,"Hendren, N; Sprung-Keyser, B","Hendren, Nathaniel; Sprung-Keyser, Ben"
WOS:000544017700005,"Pflueger, C; Siriwardane, E; Sunderam, A","Pflueger, Carolin; Siriwardane, Emil; Sunderam, Adi"
WOS:000451280400005,"Sorkin, I","Sorkin, Isaac"
WOS:000401981500010,"Heidhues, P; Koszegi, B","Heidhues, Paul; Koszegi, Botond"
WOS:000388576700005,"Bordalo, P; Coffman, K; Gennaioli, N; Shleifer, A","Bordalo, Pedro; Coffman, Katherine; Gennaioli, Nicola; Shleifer, Andrei"
WOS:000383326100008,"Bleakley, H; Ferrie, J","Bleakley, Hoyt; Ferrie, Joseph"
WOS:000346660500001,"Chetty, R; Hendren, N; Kline, P; Saez, E","Chetty, Raj; Hendren, Nathaniel; Kline, Patrick; Saez, Emmanuel"
WOS:000336146600001,"Feenstra, RC; Romalis, J","Feenstra, Robert C.; Romalis, John"
WOS:000793997100001,"Folke, O; Rickne, J","Folke, Olle; Rickne, Johanna"
WOS:000764079400001,"Aneja, A; Xu, G","Aneja, Abhay; Xu, Guo"
WOS:000672777600002,"Coibion, O; Gorodnichenko, Y; Kumar, S; Ryngaert, J","Coibion, Olivier; Gorodnichenko, Yuriy; Kumar, Saten; Ryngaert, Jane"
WOS:000593217300008,"Bigio, S; La'O, J","Bigio, Saki; La'O, Jennifer"
WOS:000489162800006,"Cengiz, D; Dube, A; Lindner, A; Zipperer, B","Cengiz, Doruk; Dube, Arindrajit; Lindner, Attila; Zipperer, Ben"
WOS:000489162100005,"Burke, M; Bergquist, LF; Miguel, E","Burke, Marshall; Bergquist, Lauren Falcao; Miguel, Edward"
WOS:000406177000009,"Célérier, C; Vallée, B","Celerier, Claire; Vallee, Boris"
WOS:000401981500005,"Muir, T","Muir, Tyler"
WOS:000365535400002,"Baicker, K; Mullainathan, S; Schwartzstein, J","Baicker, Katherine; Mullainathan, Sendhil; Schwartzstein, Joshua"
WOS:000365535400006,"Squicciarini, MP; Voigtländer, N","Squicciarini, Mara P.; Voigtlaender, Nico"
WOS:000354733000010,"Callander, S; Harstad, B","Callander, Steven; Harstad, Bard"
WOS:000354733000005,"Wantchekon, L; Klasnja, M; Novta, N","Wantchekon, Leonard; Klasnja, Marko; Novta, Natalija"
WOS:000342236000004,"Gennaioli, N; Shleifer, A; Vishny, R","Gennaioli, Nicola; Shleifer, Andrei; Vishny, Robert"
WOS:001018021300001,"Esponda, I; Oprea, R; Yuksel, S","Esponda, Ignacio; Oprea, Ryan; Yuksel, Sevgi"
WOS:000935197700001,"Babina, T; He, AX; Howell, ST; Perlman, ER; Staudt, J","Babina, Tania; He, Alex Xi; Howell, Sabrina T.; Perlman, Elisabeth Ruth; Staudt, Joseph"
WOS:000763802200001,"Chan, DC; Gentzkow, M; Yu, C","Chan, David C.; Gentzkow, Matthew; Yu, Chuan"
WOS:000728439200009,"Bertrand, M; Bombardini, M; Fisman, R; Hackinen, B; Trebbi, F","Bertrand, Marianne; Bombardini, Matilde; Fisman, Raymond; Hackinen, Brad; Trebbi, Francesco"
WOS:000642334600001,"Jäger, S; Schoefer, B; Heining, J","Jager, Simon; Schoefer, Benjamin; Heining, Joerg"
WOS:000642334600009,"Macchiavello, R; Morjaria, A","Macchiavello, Rocco; Morjaria, Ameet"
WOS:000544017700004,"Bordalo, P; Gennaioli, N; Shleifer, A","Bordalo, Pedro; Gennaioli, Nicola; Shleifer, Andrei"
WOS:000544017700006,"Caballero, RJ; Simsek, A","Caballero, Ricardo J.; Simsek, Alp"
WOS:000406177000002,"Atkin, D; Chaudhry, A; Chaudry, S; Khandelwal, AK; Verhoogen, E","Atkin, David; Chaudhry, Azam; Chaudry, Shamyla; Khandelwal, Amit K.; Verhoogen, Eric"
