UT,AU,AF
WOS:000507362800007,"Jakobsen, K; Jakobsen, K; Kleven, H; Zucman, G","Jakobsen, Katrine; Jakobsen, Kristian; Kleven, Henrik; Zucman, Gabriel"
WOS:000435871300009,"de Ree, J; Muralidharan, K; Pradhan, M; Rogers, H","de Ree, Joppe; Muralidharan, Karthik; Pradhan, Menno; Rogers, Halsey"
WOS:000406177000005,"Brot-Goldberg, ZC; Chandra, A; Handel, BR; Kolstad, JT","Brot-Goldberg, Zarek C.; Chandra, Amitabh; Handel, Benjamin R.; Kolstad, Jonathan T."
WOS:000396771300007,"Benmelech, E; Meisenzahl, RR; Ramcharan, R","Benmelech, Efraim; Meisenzahl, Ralf R.; Ramcharan, Rodney"
WOS:000380249200006,"Donaldson, D; Hornbeck, R","Donaldson, Dave; Hornbeck, Richard"
WOS:000371602500003,"Arkolakis, C","Arkolakis, Costas"
WOS:000354733000003,"Campante, F; Yanagizawa-Drott, D","Campante, Filipe; Yanagizawa-Drott, David"
WOS:000354733000004,"Costinot, A; Donaldson, D; Vogel, J; Werning, I","Costinot, Arnaud; Donaldson, Dave; Vogel, Jonathan; Werning, Ivan"
WOS:000351525000002,"Greenwood, R; Hanson, SG","Greenwood, Robin; Hanson, Samuel G."
WOS:000346660500002,"Coffman, KB","Coffman, Katherine Baldiga"
WOS:000939688700001,"Chatterjee, S","Chatterjee, Shoumitro"
WOS:000935195800001,"Philippon, T; Wang, OLV","Philippon, Thomas; Wang, Olivier"
WOS:000904947200001,"Baqaee, DR; Burstein, A","Baqaee, David R.; Burstein, Ariel"
WOS:000770114200001,"Alfaro-Ureña, A; Manelici, I; Vasquez, JP","Alfaro-Urena, Alonso; Manelici, Isabela; Vasquez, Jose P."
WOS:000489163400001,"Smith, M; Yagan, D; Zidar, O; Zwick, E","Smith, Matthew; Yagan, Danny; Zidar, Owen; Zwick, Eric"
WOS:000489162100010,"Rogerson, R; Wallenius, J","Rogerson, Richard; Wallenius, Johanna"
WOS:000489161300008,"Hassan, TA; Mano, RC","Hassan, Tarek A.; Mano, Rui C."
WOS:000423802600002,"Giglio, S; Kelly, B","Giglio, Stefano; Kelly, Bryan"
WOS:000406177000008,"Guerrieri, V; Lorenzoni, G","Guerrieri, Veronica; Lorenzoni, Guido"
WOS:000396771300001,"Heller, SB; Shah, AK; Guryan, J; Ludwig, J; Mullainathan, S; Pollack, HA","Heller, Sara B.; Shah, Anuj K.; Guryan, Jonathan; Ludwig, Jens; Mullainathan, Sendhil; Pollack, Harold A."
WOS:000371602500004,"Jackson, CK; Johnson, RC; Persico, C","Jackson, C. Kirabo; Johnson, Rucker C.; Persico, Claudia"
WOS:000330451700010,"Billings, SB; Deming, DJ; Rockoff, J","Billings, Stephen B.; Deming, David J.; Rockoff, Jonah"
WOS:000330451700006,"Wallace, N","Wallace, Neil"
WOS:000986430600001,"Afrouzi, H; Kwon, SY; Landier, A; Ma, YR; Thesmar, D","Afrouzi, Hassan; Kwon, Spencer Y.; Landier, Augustin; Ma, Yueran; Thesmar, David"
WOS:000743312400008,"vom Lehn, C; Winberry, T","vom Lehn, Christian; Winberry, Thomas"
WOS:000593217300007,"He, GJ; Wang, SD; Zhang, B","He, Guojun; Wang, Shaoda; Zhang, Bing"
WOS:000544015700005,"Bazzi, S; Koehler-Derrick, G; Marx, B","Bazzi, Samuel; Koehler-Derrick, Gabriel; Marx, Benjamin"
WOS:000489162800003,"Jordà, O; Knoll, K; Kuvshinov, D; Schularick, M; Taylor, AM","Jorda, Oscar; Knoll, Katharina; Kuvshinov, Dmitry; Schularick, Moritz; Taylor, Alan M."
WOS:000451281400008,"Cantoni, D; Dittmar, J; Yuchtman, N","Cantoni, Davide; Dittmar, Jeremiah; Yuchtman, Noam"
WOS:000401981500002,"Bhandari, A; Evans, D; Golosov, M; Sargent, TJ","Bhandari, Anmol; Evans, David; Golosov, Mikhail; Sargent, Thomas J."
WOS:000396771300002,"Debortoli, D; Nunes, R; Yared, P","Debortoli, Davide; Nunes, Ricardo; Yared, Pierre"
WOS:000380249200010,"Veiga, A; Weyl, EG","Veiga, Andre; Weyl, E. Glen"
,"Allcott, H","Allcott, Hunt"
WOS:000359638900009,"Anderson, S; Bidner, C","Anderson, Siwan; Bidner, Chris"
WOS:000936189300001,"Fernández-Villaverde, J; Koyama, M; Lin, YH; Sng, TH","Fernandez-Villaverde, Jesus; Koyama, Mark; Lin, Youhong; Sng, Tuan-Hwee"
WOS:000891996300001,"Bai, Y; Jia, RX; Yang, JJ","Bai, Ying; Jia, Ruixue; Yang, Jiaojiao"
WOS:000867882500001,"Gray-Lobe, G; Pathak, PA; Walters, CR","Gray-Lobe, Guthrie; Pathak, Parag A.; Walters, Christopher R."
WOS:000826159000011,"Li, XM; Camerer, CF","Li, Xiaomin; Camerer, Colin F."
WOS:000764683400001,"Gumpert, A; Steimer, H; Antoni, M","Gumpert, Anna; Steimer, Henrike; Antoni, Manfred"
WOS:000544017700003,"Enke, B","Enke, Benjamin"
WOS:000544015700010,"Koszegi, B; Matejka, F","Koszegi, Botond; Matejka, Filip"
WOS:000507362800003,"Baqaee, DR; Farhi, E","Baqaee, David Rezza; Farhi, Emmanuel"
WOS:000507362800001,"Fajgelbaum, PD; Goldberg, PK; Kennedy, PJ; Khandelwal, AK","Fajgelbaum, Pablo D.; Goldberg, Pinelopi K.; Kennedy, Patrick J.; Khandelwal, Amit K."
WOS:000489163400004,"Atalay, E; Hortaçsu, A; Li, MJ; Syverson, C","Atalay, Enghin; Hortacsu, Ali; Li, Mary Jialin; Syverson, Chad"
WOS:000489161300007,"Keiser, DA; Shapiro, JS","Keiser, David A.; Shapiro, Joseph S."
WOS:000451280400006,"Campante, F; Yanagizawa-Drott, D","Campante, Filipe; Yanagizawa-Drott, David"
WOS:000388576700002,"Baird, S; Hicks, JH; Kremer, M; Miguel, E","Baird, Sarah; Hicks, Joan Hamory; Kremer, Michael; Miguel, Edward"
WOS:000380249200004,"Cesarini, D; Lindqvist, E; Östling, R; Wallace, B","Cesarini, David; Lindqvist, Erik; Ostling, Robert; Wallace, Bjorn"
WOS:000371602500009,"Gelber, A; Isen, A; Kessler, JB","Gelber, Alexander; Isen, Adam; Kessler, Judd B."
WOS:000905046000001,"Ganong, P; Noel, P","Ganong, Peter; Noel, Pascal"
WOS:000892024400001,"Moscona, J; Sastry, KA","Moscona, Jacob; Sastry, Karthik A."
WOS:000813228500001,"Barr, A; Eggleston, J; Smith, AA","Barr, Andrew; Eggleston, Jonathan; Smith, Alexander A."
WOS:000785803800001,"Knutsson, D; Tyrefors, B","Knutsson, Daniel; Tyrefors, Bjorn"
WOS:000672777600010,"Altmejd, A; Barrios-Fernández, A; Drlje, M; Goodman, J; Hurwitz, M; Kovac, D; Mulhern, C; Neilson, C; Smith, J","Altmejd, Adam; Barrios-Fernandez, Andres; Drlje, Marin; Goodman, Joshua; Hurwitz, Michael; Kovac, Dejan; Mulhern, Christine; Neilson, Christopher; Smith, Jonathan"
WOS:000544017700009,"Caplin, A; Csaba, D; Leahy, J; Nov, O","Caplin, Andrew; Csaba, Daniel; Leahy, John; Nov, Oded"
WOS:000489163400002,"Jones, D; Molitor, D; Reif, J","Jones, Damon; Molitor, David; Reif, Julian"
WOS:000489162800005,"Kline, P; Petkova, N; Williams, H; Zidar, O","Kline, Patrick; Petkova, Neviana; Williams, Heidi; Zidar, Owen"
WOS:000489161300009,"Alvarez, F; Beraja, M; Gonzalez-Rozada, M; Neumeyer, PA","Alvarez, Fernando; Beraja, Martin; Gonzalez-Rozada, Martin; Andres Neumeyer, Pablo"
WOS:000412764300001,"Andrews, I; Gentzkow, M; Shapiro, JM","Andrews, Isaiah; Gentzkow, Matthew; Shapiro, Jesse M."
WOS:000388576700001,"Baker, SR; Bloom, N; Davis, SJ","Baker, Scott R.; Bloom, Nicholas; Davis, Steven J."
WOS:000380249200005,"Artavanis, N; Morse, A; Tsoutsoura, M","Artavanis, Nikolaos; Morse, Adair; Tsoutsoura, Margarita"
WOS:000354733000008,"Einav, L; Finkelstein, A; Schrimpf, P","Einav, Liran; Finkelstein, Amy; Schrimpf, Paul"
WOS:000351525000007,"Galasso, A; Schankerman, M","Galasso, Alberto; Schankerman, Mark"
WOS:000342236000002,"Allen, T; Arkolakis, C","Allen, Treb; Arkolakis, Costas"
WOS:000342236000006,"Hanna, R; Mullainathan, S; Schwartzstein, J","Hanna, Rema; Mullainathan, Sendhil; Schwartzstein, Joshua"
WOS:000330451700004,"Michalopoulos, S; Papaioannou, E","Michalopoulos, Stelios; Papaioannou, Elias"
WOS:000942114200001,"Le Pennec, C; Pons, V","Le Pennec, Caroline; Pons, Vincent"
WOS:000885663500001,"Abadie, A; Athey, S; Imbens, GW; Wooldridge, JM","Abadie, Alberto; Athey, Susan; Imbens, Guido W.; Wooldridge, Jeffrey M."
WOS:000728439200006,"Mian, A; Straub, L; Sufi, A","Mian, Atif; Straub, Ludwig; Sufi, Amir"
WOS:000593217300005,"Boehm, J; Oberfield, E","Boehm, Johannes; Oberfield, Ezra"
WOS:000489162800010,"Mbiti, I; Muralidharan, K; Romero, M; Schipper, Y; Manda, C; Rajani, R","Mbiti, Isaac; Muralidharan, Karthik; Romero, Mauricio; Schipper, Youdi; Manda, Constantine; Rajani, Rakesh"
WOS:000451280400009,"Bursztyn, L; Ferman, B; Fiorin, S; Kanz, M; Rao, G","Bursztyn, Leonardo; Ferman, Bruno; Fiorin, Stefano; Kanz, Martin; Rao, Gautam"
WOS:000451280400004,"Nakamura, E; Steinsson, J","Nakamura, Emi; Steinsson, Jon"
WOS:000401981500003,"Kogan, L; Papanikolaou, D; Seru, A; Stoffman, N","Kogan, Leonid; Papanikolaou, Dimitris; Seru, Amit; Stoffman, Noah"
WOS:000383326100009,"Broner, F; Ventura, J","Broner, Fernando; Ventura, Jaume"
WOS:000371602500006,"Casaburi, L; Troiano, U","Casaburi, Lorenzo; Troiano, Ugo"
WOS:000354733000011,"Dal Bo, E; Finan, F; Rossi, MA","Dal Bo, Ernesto; Finan, Frederico; Rossi, Martín A."
WOS:000351525000004,"Bloom, N; Liang, J; Roberts, J; Ying, ZJ","Bloom, Nicholas; Liang, James; Roberts, John; Ying, Zhichun Jenny"
WOS:001065157900001,"Adukia, A; Eble, A; Harrison, E; Runesha, HB; Szasz, T","Adukia, Anjali; Eble, Alex; Harrison, Emileigh; Runesha, Hakizumwami Birali; Szasz, Teodora"
WOS:000999691800001,"Bazzi, S; Ferrara, A; Fiszbein, M; Pearson, T; Testa, PA","Bazzi, Samuel; Ferrara, Andreas; Fiszbein, Martin; Pearson, Thomas; Testa, Patrick A."
WOS:000855414400001,"Kermani, A; Ma, YR","Kermani, Amir; Ma, Yueran"
WOS:000770421700001,"Hazell, J; Herreño, J; Nakamura, E; Steinsson, J","Hazell, Jonathon; Herreno, Juan; Nakamura, Emi; Steinsson, Jon"
WOS:000728439200010,"Angeletos, GM; Sastry, KA","Angeletos, George-Marios; Sastry, Karthik A."
WOS:000743312400005,"Biasi, B; Sarsons, H","Biasi, Barbara; Sarsons, Heather"
WOS:000642334600004,"Shapiro, JS","Shapiro, Joseph S."
WOS:000544015700008,"Bustos, P; Garber, G; Ponticelli, J","Bustos, Paula; Garber, Gabriel; Ponticelli, Jacopo"
WOS:000489162100004,"Jaravel, X","Jaravel, Xavier"
WOS:000451280400003,"Cai, J; Szeidl, A","Cai, Jing; Szeidl, Adam"
WOS:000435871300007,"Che, YK; Hörner, J","Che, Yeon-Koo; Horner, Johannes"
WOS:000423802600007,"Henderson, JV; Squires, T; Storeygard, A; Weil, D","Henderson, J. Vernon; Squires, Tim; Storeygard, Adam; Weil, David"
WOS:000412764300008,"Gopinath, G; Kalemli-Özcan, S; Karabarbounis, L; Villegas-Sanchez, C","Gopinath, Gita; Kalemli-Ozcan, Sebnem; Karabarbounis, Loukas; Villegas-Sanchez, Carolina"
WOS:000406177000011,"Kirkeboen, L; Leuven, E; Mogstad, M","Kirkeboen, Lars; Leuven, Edwin; Mogstad, Magne"
WOS:000365535400007,"Adena, M; Enikolopov, R; Petrova, M; Santarosa, V; Zhuravskaya, E","Adena, Maja; Enikolopov, Ruben; Petrova, Maria; Santarosa, Veronica; Zhuravskaya, Ekaterina"
WOS:000365535400004,"Aguiar, M; Amador, M; Farhi, E; Gopinath, G","Aguiar, Mark; Amador, Manuel; Farhi, Emmanuel; Gopinath, Gita"
WOS:000351525000001,"Giglio, S; Maggiori, M; Stroebel, J","Giglio, Stefano; Maggiori, Matteo; Stroebel, Johannes"
WOS:000336146600010,"Hodler, R; Raschky, PA","Hodler, Roland; Raschky, Paul A."
WOS:001010970300001,"Ghosh, A; Hwang, SI; Squires, M","Ghosh, Arkadev; Hwang, Sam Il Myoung; Squires, Munir"
WOS:000946888200001,"Besley, T; Persson, T","Besley, Timothy; Persson, Torsten"
WOS:000836125300001,"Ilut, C; Valchev, R","Ilut, Cosmin; Valchev, Rosen"
WOS:000612198000002,"Baron, M; Verner, E; Xiong, W","Baron, Matthew; Verner, Emil; Xiong, Wei"
WOS:000489163400008,"Benson, A; Li, D; Shue, K","Benson, Alan; Li, Danielle; Shue, Kelly"
WOS:000489162800009,"Allcott, H; Lockwood, BB; Taubinsky, D","Allcott, Hunt; Lockwood, Benjamin B.; Taubinsky, Dmitry"
WOS:000489162800007,"Barjamovic, G; Chaney, T; Cosar, K; Hortaçsu, A","Barjamovic, Gojko; Chaney, Thomas; Cosar, Kerem; Hortacsu, Ali"
WOS:000451281400003,"Dickstein, MJ; Morales, E","Dickstein, Michael J.; Morales, Eduardo"
WOS:000435871300002,"Breza, E; Kaur, S; Shamdasani, Y","Breza, Emily; Kaur, Supreet; Shamdasani, Yogita"
WOS:000396771300004,"Tintelnot, F","Tintelnot, Felix"
WOS:000388576700006,"Kline, P; Walters, CR","Kline, Patrick; Walters, Christopher R."
WOS:000380249200002,"Pinkovskiy, M; Sala-I-Martin, X","Pinkovskiy, Maxim; Sala-I-Martin, Xavier"
WOS:000371602500001,"Farhi, E; Gabaix, X","Farhi, Emmanuel; Gabaix, Xavier"
WOS:000371602500007,"Sampson, T","Sampson, Thomas"
WOS:000818056100001,"Hermo, S; Päällysaho, M; Seim, D; Shapiro, JM","Hermo, Santiago; Paallysaho, Miika; Seim, David; Shapiro, Jesse M."
WOS:000767684700001,"Acemoglu, D; De Feo, G; De Luca, G; Russo, G","Acemoglu, Daron; De Feo, Giuseppe; De Luca, Giacomo; Russo, Gianluca"
WOS:000743312400006,"Dustmann, C; Lindner, A; Schönberg, U; Umkehrer, M; vom Berge, P","Dustmann, Christian; Lindner, Attila; Schonberg, Uta; Umkehrer, Matthias; vom Berge, Philipp"
WOS:000743312400007,"Akcigit, U; Grigsby, J; Nicholas, T; Stantcheva, S","Akcigit, Ufuk; Grigsby, John; Nicholas, Tom; Stantcheva, Stefanie"
WOS:000743312400002,"Feigenberg, B; Miller, C","Feigenberg, Benjamin; Miller, Conrad"
WOS:000672777600004,"Coppola, A; Maggiori, M; Neiman, B; Schreger, J","Coppola, Antonio; Maggiori, Matted; Neiman, Brent; Schreger, Jesse"
WOS:000593217300001,"Auriol, E; Lassebie, J; Panin, A; Raiber, E; Seabright, P","Auriol, Emmanuelle; Lassebie, Julie; Panin, Amma; Raiber, Eva; Seabright, Paul"
WOS:000489162100003,"Bell, A; Chetty, R; Jaravel, X; Petkova, N; Van Reenen, J","Bell, Alex; Chetty, Raj; Jaravel, Xavier; Petkova, Neviana; Van Reenen, John"
WOS:000489162100007,"Blouin, A; Macchiavello, R","Blouin, Arthur; Macchiavello, Rocco"
WOS:000451280400010,"Fowlie, M; Greenstone, M; Wolfram, C","Fowlie, Meredith; Greenstone, Michael; Wolfram, Catherine"
WOS:000435871300006,"Hansen, S; McMahon, M; Prat, A","Hansen, Stephen; McMahon, Michael; Prat, Andrea"
WOS:000412764300012,"Angrist, JD; Hull, PD; Pathak, PA; Walters, CR","Angrist, Joshua D.; Hull, Peter D.; Pathak, Parag A.; Walters, Christopher R."
WOS:000388576700003,"Finkelstein, A; Gentzkow, M; Williams, H","Finkelstein, Amy; Gentzkow, Matthew; Williams, Heidi"
WOS:000383326100003,"Chen, DL; Moskowitz, TJ; Shue, K","Chen, Daniel L.; Moskowitz, Tobias J.; Shue, Kelly"
WOS:000380249200008,"Adda, J","Adda, Jerome"
WOS:000380249200001,"Saez, E; Zucman, G","Saez, Emmanuel; Zucman, Gabriel"
WOS:000365535400010,"Fillat, JL; Garetto, S","Fillat, Jose L.; Garetto, Stefania"
WOS:000354733000009,"Piguillem, F; Riboni, A","Piguillem, Facundo; Riboni, Alessandro"
WOS:000336146600002,"Cavallo, A; Neiman, B; Rigobon, R","Cavallo, Alberto; Neiman, Brent; Rigobon, Roberto"
WOS:001022028300001,"Cajal-Grossi, J; Macchiavello, R; Noguera, G","Cajal-Grossi, Julia; Macchiavello, Rocco; Noguera, Guillermo"
WOS:000768142500001,"Exley, CL; Kessler, JB","Exley, Christine L.; Kessler, Judd B."
WOS:000593217300006,"Heblich, S; Redding, SJ; Sturm, DM","Heblich, Stephan; Redding, Stephen J.; Sturm, Daniel M."
WOS:000489162100002,"Ilzetzki, E; Reinhart, CM; Rogoff, KS","Ilzetzki, Ethan; Reinhart, Carmen M.; Rogoff, Kenneth S."
WOS:000489161300002,"Cooper, Z; Craig, SV; Gaynor, M; Van Reenen, J","Cooper, Zack; Craig, Stuart V.; Gaynor, Martin; Van Reenen, John"
WOS:000451281400002,"Kueng, L","Kueng, Lorenz"
WOS:000401981500006,"Bandiera, O; Burgess, R; Das, N; Gulesci, S; Rasul, I; Sulaiman, M","Bandiera, Oriana; Burgess, Robin; Das, Narayan; Gulesci, Selim; Rasul, Imran; Sulaiman, Munshi"
WOS:000388576700010,"Haushofer, J; Shapiro, J","Haushofer, Johannes; Shapiro, Jeremy"
WOS:000383326100005,"Hottman, CJ; Redding, SJ; Weinstein, DE","Hottman, Colin J.; Redding, Stephen J.; Weinstein, David E."
WOS:000371602500010,"Bierbrauer, FJ; Boyer, PC","Bierbrauer, Felix J.; Boyer, Pierre C."
WOS:000359638900004,"Kremer, M; Snyder, CM","Kremer, Michael; Snyder, Christopher M."
WOS:000330451700008,"Kleven, HJ; Landais, C; Saez, E; Schultz, E","Kleven, Henrik Jacobsen; Landais, Camille; Saez, Emmanuel; Schultz, Esben"
