UT,TI
WOS:000988607500001,Cultural Distance and Conflict-Related Sexual Violence*
WOS:000868979600001,Top Wealth in America: New Estimates Under Heterogeneous Returns*
WOS:000813226900001,Improving Management Through Worker Evaluations: Evidence from Auto Manufacturing*
WOS:000784752700001,"Imports, Exports, and Earnings Inequality: Measures of Exposure and Estimates of Incidence*"
WOS:000642334600003,"BANKING, TRADE, AND THE MAKING OF A DOMINANT CURRENCY"
WOS:000612198000011,THE EFFECT OF THE CREDIT CRUNCH ON OUTPUT PRICE DYNAMICS: THE CORPORATE INVENTORY AND LIQUIDITY MANAGEMENT CHANNEL
WOS:000489163400003,FOOD DESERTS AND THE CAUSES OF NUTRITIONAL INEQUALITY
WOS:000489161300005,THE MACRO EFFECTS OF UNEMPLOYMENT BENEFIT EXTENSIONS: A MEASUREMENT ERROR APPROACH
WOS:000435871300001,DISTRIBUTIONAL NATIONAL ACCOUNTS: METHODS AND ESTIMATES FOR THE UNITED STATES
WOS:000423802600008,TUSKEGEE AND THE HEALTH OF BLACK MEN
WOS:000412764300005,HOUSEHOLD DEBT AND BUSINESS CYCLES WORLDWIDE
WOS:000406177000010,PARTY POLARIZATION IN LEGISLATURES WITH OFFICE-MOTIVATED CANDIDATES
WOS:000383326100010,Input Specificity and the Propagation of Idiosyncratic Shocks in Production Networks*
WOS:000383326100004,Bayesian Networks and Boundedly Rational Expectations*
WOS:000359638900007,HOW DOES PEER PRESSURE AFFECT EDUCATIONAL INVESTMENTS?
WOS:000359638900008,INTERNATIONAL LIQUIDITY AND EXCHANGE RATE DYNAMICS
WOS:000354733000001,"AGGREGATE DEMAND, IDLE TIME, AND UNEMPLOYMENT"
WOS:000346660500004,FAMILY WELFARE CULTURES
WOS:000999692200001,Ai-Tocracy*
WOS:000986383900001,Visual Inference and Graphical Representation in Regression Discontinuity Designs*
WOS:000743312400004,EFFICIENT CODING AND RISKY CHOICE
WOS:000728439200002,"CONCESSIONS, VIOLENCE, AND INDIRECT RULE: EVIDENCE FROM THE CONGO FREE STATE"
WOS:000612198000006,RANDOMIZING RELIGION: THE IMPACT OF PROTESTANT EVANGELISM ON ECONOMIC OUTCOMES
WOS:000612198000008,CRIMES AGAINST MORALITY: UNINTENDED CONSEQUENCES OF CRIMINALIZING SEX WORK
WOS:000612198000005,ANATOMY OF CORPORATE BORROWING CONSTRAINTS
WOS:000507362800004,INFLATION EXPECTATIONS AND FIRM DECISIONS: NEW CAUSAL EVIDENCE
WOS:000489163400007,UNIFORM PRICING IN US RETAIL CHAINS
WOS:000451281400006,THE ELUSIVE COSTS OF INFLATION: PRICE DISPERSION DURING THE US GREAT INFLATION
WOS:000423802600006,A MODEL OF THE INTERNATIONAL MONETARY SYSTEM
WOS:000359638900002,WORKING OVER TIME: DYNAMIC INCONSISTENCY IN REAL EFFORT TASKS
WOS:000359638900006,PRICE COHERENCE AND EXCESSIVE INTERMEDIATION
WOS:000354733000006,"JUVENILE INCARCERATION, HUMAN CAPITAL, AND FUTURE CRIME: EVIDENCE FROM RANDOMLY ASSIGNED JUDGES"
WOS:000346660500006,TRADE ADJUSTMENT: WORKER-LEVEL EVIDENCE
WOS:000346660500008,ETHNIC DIVISIONS AND PRODUCTION IN FIRMS
WOS:000330451700007,"Local Economic Development, Agglomeration Economies, and the Big Push: 100 Years of Evidence from the Tennessee Valley Authority"
WOS:000642334600011,WHO GETS A SECOND CHANCE? EFFECTIVENESS AND EQUITY IN SUPERVISION OF CRIMINAL OFFENDERS
WOS:000544015700001,THE RISE OF MARKET POWER AND THE MACROECONOMIC IMPLICATIONS
WOS:000451281400010,SHOULD BUYERS OR SELLERS ORGANIZE TRADE IN A FRICTIONAL MARKET?
WOS:000412764300002,THE GROWING IMPORTANCE OF SOCIAL SKILLS IN THE LABOR MARKET
WOS:000412764300006,THE DEPOSITS CHANNEL OF MONETARY POLICY
WOS:000412764300010,THE BENEFITS OF FORCED EXPERIMENTATION: STRIKING EVIDENCE FROM THE LONDON UNDERGROUND NETWORK
WOS:000401981500008,MULTINATIONAL FIRMS AND INTERNATIONAL BUSINESS CYCLE TRANSMISSION
WOS:000388576700008,"Earthquakes, Religion, and Transition to Self-Government in Italian Cities"
WOS:000365535400005,THE SKILL COMPLEMENTARITY OF BROADBAND INTERNET
WOS:000359638900001,THE AGGREGATE EFFECT OF SCHOOL CHOICE: EVIDENCE FROM A TWO-STAGE EXPERIMENT IN INDIA
WOS:000342236000007,INJECTING CHARTER SCHOOL BEST PRACTICES INTO TRADITIONAL PUBLIC SCHOOLS: EVIDENCE FROM FIELD EXPERIMENTS
WOS:000330451700009,Valuing the Vote: The Redistribution of Voting Rights and State Funds following the Voting Rights Act of 1965
WOS:000330451700003,Last-Place Aversion: Evidence and Redistributive Implications
WOS:000763961400001,Origins of the Opioid Crisis and its Enduring Impacts*
WOS:000728439200011,3G INTERNET AND CONFIDENCE IN GOVERNMENT
WOS:000489163400005,INDUSTRIAL POLICIES IN PRODUCTION NETWORKS
WOS:000451281400004,MARGINAL TAX RATES AND INCOME: NEW TIME SERIES EVIDENCE
WOS:000406177000007,CREDIT-MARKET SENTIMENT AND THE BUSINESS CYCLE
WOS:000354733000002,GENDER IDENTITY AND RELATIVE INCOME WITHIN HOUSEHOLDS
WOS:000351525000009,Optimal Regulation in the Presence of Reputation Concerns
WOS:000336146600009,The Agricultural Productivity Gap
WOS:000935190200001,Use It or Lose It: Efficiency and Redistributional Effects of Wealth Taxation*
WOS:000728439200001,FOLKLORE
WOS:000672777600009,MEDICAID AND MORTALITY: NEW EVIDENCE FROM LINKED SURVEY AND ADMINISTRATIVE DATA
WOS:000507362800002,CASH AND THE ECONOMY: EVIDENCE FROM INDIA'S DEMONETIZATION
WOS:000507362800010,MEASURING AGGREGATE PRICE INDICES WITH TASTE SHOCKS: THEORY AND EVIDENCE FOR CES PREFERENCES
WOS:000489161300001,FIRMING UP INEQUALITY
WOS:000451281400005,RACIAL BIAS IN BAIL DECISIONS
WOS:000406177000003,THE RISE OF DOMESTIC OUTSOURCING AND THE EVOLUTION OF THE GERMAN WAGE STRUCTURE
WOS:000383326100002,Measuring the Unequal Gains from Trade*
WOS:000365535400001,THE HIGH-FREQUENCY TRADING ARMS RACE: FREQUENT BATCH AUCTIONS AS A MARKET DESIGN RESPONSE
WOS:000359638900010,FINANCIAL ASSET HOLDINGS AND POLITICAL ATTITUDES: EVIDENCE FROM REVOLUTIONARY ENGLAND
WOS:000354733000007,THE VALUE OF HIRING THROUGH EMPLOYEE REFERRALS
WOS:000346660500007,EXTENSIVE IMITATION IS IRRATIONAL AND HARMFUL
WOS:000342236000010,INTERNATIONAL TRADE PUZZLES: A SOLUTION LINKING PRODUCTION AND PREFERENCES
WOS:000330451700005,Inflation Dynamics and Time-Varying Volatility: New Evidence and an Ss Interpretation
WOS:001011152200001,Labor Market Dynamics and Development*
WOS:000847148900001,Increasing the Demand for Workers with a Criminal Record*
WOS:000836097700001,Systemic Discrimination Among Large US Employers*
WOS:000815161100001,Valuing the Global Mortality Consequences of Climate Change Accounting for Adaptation Costs and Benefits*
WOS:000770412500001,Dominant Currencies: How Firms Choose Currency Invoicing and Why it Matters*
WOS:000764048500001,Evidence on Job Search Models from a Survey of Unemployed Workers in Germany*
WOS:000777482200001,Marginal Effects of Merit Aid for Low-Income Students*
WOS:000489162100009,PROTESTS AS STRATEGIC GAMES: EXPERIMENTAL EVIDENCE FROM HONG KONG'S ANTIAUTHORITARIAN MOVEMENT
WOS:000451281400001,GLOBAL EVIDENCE ON ECONOMIC PREFERENCES
WOS:000383326100007,Teacher Quality and Learning Outcomes in Kindergarten*
WOS:000371602500008,Political Centralization and Government Accountability*
WOS:000365535400003,DO PHARMACISTS BUY BAYER? INFORMED SHOPPERS AND THE BRAND PREMIUM
WOS:000336146600007,"Medieval Universities, Legal Institutions, and the Commercial Revolution"
WOS:000330451700001,The Employment Effects of Credit Market Disruptions: Firm-level Evidence from the 2008-9 Financial Crisis
WOS:000330451700002,The Global Decline of the Labor Share
WOS:000986374800001,The Geography of Unemployment*
WOS:000935187000001,The Refugee's Dilemma: Evidence from Jewish Migration out of Nazi Germany*
WOS:000793034100001,Reshaping Global Trade: The Immediate and Long-Run Effects of Bank Failures*
WOS:000770112400001,On the Effects of the Availability of Means of Payments: The Case of Uber*
WOS:000642334600002,SWEAT EQUITY IN US PRIVATE BUSINESS
WOS:000612198000007,GENDER DIFFERENCES IN JOB SEARCH: TRADING OFF COMMUTE AGAINST WAGE
WOS:000489162800002,IMPLICIT STEREOTYPES: EVIDENCE FROM TEACHERS' GENDER BIAS
WOS:000401981500009,SMART AND ILLICIT: WHO BECOMES AN ENTREPRENEUR AND DO THEY EARN MORE?
WOS:000371602500005,Tax Farming Redux: Experimental Evidence on Performance Pay for Tax Collectors*
WOS:000875748600001,Inflammatory Political Campaigns and Racial Bias in Policing*
WOS:000864359300001,Memory and Probability*
WOS:000763959600001,Correlation Made Simple: Applications to Salience and Regret Theory*
WOS:000612198000009,THE USE AND MISUSE OF COORDINATED PUNISHMENTS
WOS:000593217300010,QUANTIFYING THE GAP BETWEEN EQUILIBRIUM AND OPTIMUM UNDER MONOPOLISTIC COMPETITION
WOS:000593217300004,"EARNINGS DYNAMICS, CHANGING JOB SKILLS, AND STEM CAREERS"
WOS:000544015700007,"OPTIMAL SPATIAL POLICIES, GEOGRAPHY, AND SORTING"
WOS:000507362800008,COMPLEMENTARY INFORMATION AND LEARNING TRAPS
WOS:000489163400010,LIQUIDITY AFFECTS JOB CHOICE: EVIDENCE FROM TEACH FOR AMERICA
WOS:000451280400007,DIVERGENT PATHS: A NEW PERSPECTIVE ON EARNINGS DIFFERENCES BETWEEN BLACK AND WHITE MEN SINCE 1940
WOS:000412764300004,OPTIMAL TAX PROGRESSIVITY: AN ANALYTICAL FRAMEWORK
WOS:000365535400008,THE UNFAVORABLE ECONOMICS OF MEASURING THE RETURNS TO ADVERTISING
WOS:000346660500009,PROPAGANDA AND CONFLICT: EVIDENCE FROM THE RWANDAN GENOCIDE
WOS:001051517900001,The Damages and Distortions from Discrimination in the Rental Housing Market*
WOS:000813230500001,Price Discrimination by Negotiation: a Field Experiment in Retail Electricity*
WOS:000770415300001,The Assessment Gap: Racial Inequalities in Property Taxation*
WOS:000642334600005,UNEMPLOYMENT INSURANCE AND JOB SEARCH BEHAVIOR
WOS:000672777600011,THE ECONOMIC CONSEQUENCES OF INCREASING SLEEP AMONG THE URBAN POOR
WOS:000642334600008,THE MICRO-LEVEL ANATOMY OF THE LABOR SHARE DECLINE
WOS:000593217300002,THE PARTICIPATION DIVIDEND OF TAXATION: HOW CITIZENS IN CONGO ENGAGE MORE WITH THE STATE WHEN IT TRIES TO TAX THEM
WOS:000544017700007,INCOME SEGREGATION AND INTERGENERATIONAL MOBILITY ACROSS COLLEGES IN THE UNITED STATES
WOS:000544017700001,A UNIFIED WELFARE ANALYSIS OF GOVERNMENT POLICIES
WOS:000544017700005,FINANCIAL MARKET RISK PERCEPTIONS AND THE MACROECONOMY
WOS:000451280400005,RANKING FIRMS USING REVEALED PREFERENCE
WOS:000401981500010,NAIVETE-BASED DISCRIMINATION
WOS:000388576700005,Stereotypes
WOS:000383326100008,Shocking Behavior: Random Wealth in Antebellum Georgia and Human Capital Across Generations*
WOS:000346660500001,WHERE IS THE LAND OF OPPORTUNITY? THE GEOGRAPHY OF INTERGENERATIONAL MOBILITY IN THE UNITED STATES
WOS:000336146600001,International Prices and Endogenous Quality
WOS:000793997100001,Sexual Harassment and Gender Inequality in the Labor Market*
WOS:000764079400001,The Costs of Employment Segregation: Evidence from the Federal Government Under Woodrow Wilson*
WOS:000672777600002,DO YOU KNOW THAT I KNOW THAT YOU KNOW. . . ? HIGHER-ORDER BELIEFS IN SURVEY DATA
WOS:000593217300008,DISTORTIONS IN PRODUCTION NETWORKS
WOS:000489162800006,THE EFFECT OF MINIMUM WAGES ON LOW-WAGE JOBS
WOS:000489162100005,SELL LOW AND BUY HIGH: ARBITRAGE AND LOCAL PRICE EFFECTS IN KENYAN MARKETS
WOS:000406177000009,CATERING TO INVESTORS THROUGH SECURITY DESIGN: HEADLINE RATE AND COMPLEXITY
WOS:000401981500005,FINANCIAL CRISES AND RISK PREMIA
WOS:000365535400002,BEHAVIORAL HAZARD IN HEALTH INSURANCE
WOS:000365535400006,HUMAN CAPITAL AND INDUSTRIALIZATION: EVIDENCE FROM THE AGE OF ENLIGHTENMENT
WOS:000354733000010,EXPERIMENTATION IN FEDERAL SYSTEMS
WOS:000354733000005,EDUCATION AND HUMAN CAPITAL EXTERNALITIES: EVIDENCE FROM COLONIAL BENIN
WOS:000342236000004,FINANCE AND THE PRESERVATION OF WEALTH
WOS:001018021300001,Seeing What is Representative*
WOS:000935197700001,"Cutting the Innovation Engine: How Federal Funding Shocks Affect University Patenting, Entrepreneurship, and Publications*"
WOS:000763802200001,Selection with Variation in Diagnostic Skill: Evidence from Radiologists*
WOS:000728439200009,HALL OF MIRRORS: CORPORATE PHILANTHROPY AND STRATEGIC ADVOCACY
WOS:000642334600001,LABOR IN THE BOARDROOM
WOS:000642334600009,COMPETITION AND RELATIONAL CONTRACTS IN THE RWANDA COFFEE CHAIN
WOS:000544017700004,"MEMORY, ATTENTION, AND CHOICE"
WOS:000544017700006,A RISK-CENTRIC MODEL OF DEMAND RECESSIONS AND SPECULATION
WOS:000406177000002,ORGANIZATIONAL BARRIERS TO TECHNOLOGY ADOPTION: EVIDENCE FROM SOCCER-BALL PRODUCERS IN PAKISTAN
WOS:000401981500007,LEVERAGING LOTTERIES FOR SCHOOL VALUE-ADDED: TESTING AND ESTIMATION
WOS:000351525000008,The Psychological Effect of Weather on Car Purchases
WOS:000351525000006,The Geography of Interstate Resource Wars
WOS:000336146600003,Agricultural Decisions after Relaxing Credit and Risk Constraints
WOS:001017928700001,Children's Indirect Exposure to the US Justice System: Evidence From Longitudinal Links between Survey and Administrative Data*
WOS:000836166500001,ARMY SERVICE IN THE ALL-VOLUNTEER ERA
WOS:000764873200001,Why Do People Stay Poor?*
WOS:000642334600010,BUILDING RESILIENT HEALTH SYSTEMS: EXPERIMENTAL EVIDENCE FROM SIERRA LEONE AND THE 2014 EBOLA OUTBREAK
WOS:000672777600007,"OWNERSHIP, LEARNING, AND BELIEFS"
WOS:000612198000012,RATIONAL GROUPTHINK
WOS:000544017700010,OPTIMAL TIMING OF POLICY ANNOUNCEMENTS IN DYNAMIC ELECTION CAMPAIGNS
WOS:000396771300010,PUBLIC PROTESTS AND POLICY MAKING
WOS:000371602500002,Learning from Inflation Experiences*
WOS:000346660500005,A WELFARE CRITERION FOR MODELS WITH DISTORTED BELIEFS
WOS:000342236000009,AXIOMATIZATION AND MEASUREMENT OF QUASI-HYPERBOLIC DISCOUNTING
WOS:000336146600006,International Trade and Institutional Change: Medieval Venice's Response to Globalization
WOS:000926656800001,"Globalization, Trade Imbalances, and Labor Market Adjustment*"
WOS:000806495000001,DOES WELFARE PREVENT CRIME? THE CRIMINAL JUSTICE OUTCOMES OF YOUTH REMOVED FROM SSI
WOS:000764043900001,The Macroeconomics of Sticky Prices with Generalized Hazard Functions*
WOS:000728439200003,THE LONG-RUN IMPACT OF THE DISSOLUTION OF THE ENGLISH MONASTERIES
WOS:000612198000001,HEALTH INSURANCE AND MORTALITY: EXPERIMENTAL EVIDENCE FROM TAXPAYER OUTREACH
WOS:000544015700002,THE FALL OF THE LABOR SHARE AND THE RISE OF SUPERSTAR FIRMS
WOS:000489162100001,CHANNELING FISHER: RANDOMIZATION TESTS AND THE STATISTICAL INSIGNIFICANCE OF SEEMINGLY SIGNIFICANT EXPERIMENTAL RESULTS
WOS:000489161300006,MORAL HAZARD: EXPERIMENTAL EVIDENCE FROM TENANCY CONTRACTS
WOS:000435871300005,DISCRETION IN HIRING
WOS:000423802600003,DO BANKS PASS THROUGH CREDIT EXPANSIONS TO CONSUMERS WHO WANT TO BORROW?
WOS:000423802600010,COOPERATION IN THE FINITELY REPEATED PRISONER'S DILEMMA
WOS:000423802600009,"PREFERENCE FOR THE WORKPLACE, INVESTMENT IN HUMAN CAPITAL, AND GENDER"
WOS:000388576700004,"Adam Smith, Watch Prices, and the Industrial Revolution"
WOS:000336146600004,"Public Health Insurance, Labor Supply, and Employment Lock"
WOS:000979999900001,Gender Differences in Job Search and the Earnings Gap: Evidence from the Field and Lab*
WOS:000946887400001,Misdemeanor Prosecution*
WOS:000921150500004,Improving Workplace Climate in Large Corporations: A Clustered Randomized Intervention*
WOS:000743312400010,"QUANTIFYING THE HIGH-FREQUENCY TRADING ""ARMS RACE"""
WOS:000728439200005,THE ALLOCATION OF AUTHORITY IN ORGANIZATIONS: A FIELD EXPERIMENT WITH BUREAUCRATS
WOS:000642334600012,SUPPLY CHAIN DISRUPTIONS: EVIDENCE FROM THE GREAT EAST JAPAN EARTHQUAKE
WOS:000672777600006,WHAT DO CONSUMERS CONSIDER BEFORE THEY CHOOSE? IDENTIFICATION FROM ASYMMETRIC DEMAND RESPONSES
WOS:000544015700003,RACE AND ECONOMIC OPPORTUNITY IN THE UNITED STATES: AN INTERGENERATIONAL PERSPECTIVE
WOS:000544015700006,COMBINING LIFE AND HEALTH INSURANCE
WOS:000489162800004,INDUSTRY INPUT IN POLICY MAKING: EVIDENCE FROM MEDICARE
WOS:000451281400009,MISSED SALES AND THE PRICING OF ANCILLARY GOODS
WOS:000435871300010,SOCIAL MOBILITY AND STABILITY OF DEMOCRACY: REEVALUATING DE TOCQUEVILLE
WOS:000412764300007,WHO BECOMES A POLITICIAN?
WOS:000412764300009,REFERENCE-DEPENDENT JOB SEARCH: EVIDENCE FROM HUNGARY
WOS:000412764300011,"THE SHORT-TERM IMPACT OF UNCONDITIONAL CASH TRANSFERS TO THE POOR: EXPERIMENTAL EVIDENCE FROM KENYA (vol 131, pg 1973, 2016)"
WOS:000401981500004,CREDIT EXPANSION AND NEGLECTED CRASH RISK
WOS:000388576700009,The Liquidity Premium of Near-Money Assets
WOS:000380249200007,A TYPOLOGY OF PLAYERS: BETWEEN INSTINCTIVE AND CONTEMPLATIVE
WOS:000764764900001,Diagnosing Physician Error: A Machine Learning Approach to Low-Value Health Care*
WOS:000728439200004,BUILDING SOCIAL COHESION IN ETHNICALLY MIXED SCHOOLS: AN INTERVENTION ON PERSPECTIVE TAKING
WOS:000612198000010,CAPITAL OBSOLESCENCE AND AGRICULTURAL PRODUCTIVITY
WOS:000544015700004,IDENTIFYING SOURCES OF INEFFICIENCY IN HEALTHCARE
WOS:000451280400008,THE MACROECONOMIC EFFECTS OF GOVERNMENT ASSET PURCHASES: EVIDENCE FROM POSTWAR US HOUSING CREDIT POLICY
WOS:000435871300003,HUMAN CAPITAL AND DEVELOPMENT ACCOUNTING: NEW EVIDENCE FROM WAGE GAINS AT MIGRATION
WOS:000396771300006,"FIRM LEVERAGE, CONSUMER DEMAND, AND EMPLOYMENT LOSSES DURING THE GREAT RECESSION"
WOS:000396771300005,THE TAXATION OF SUPERSTARS
WOS:000388576700007,Movers and Shakers
WOS:000383326100001,"Field of Study, Earnings, and Self-Selection*"
WOS:000359638900005,DOLLAR FUNDING AND THE LENDING BEHAVIOR OF GLOBAL BANKS
WOS:001076716200001,SEARCH FRICTIONS AND EFFICIENCY IN DECENTRALIZED TRANSPORT MARKETS
WOS:001030461600001,A Fiscal Theory of Persistent Inflation*
WOS:001035117100001,A Quantity-Driven Theory of Term Premia and Exchange Rates*
WOS:000865127000001,Corruption in Customs*
WOS:000764509800001,OLD BOYS' CLUBS AND UPWARD MOBILITY AMONG THE EDUCATIONAL ELITE
WOS:000743312400011,VOLUNTARY REGULATION: EVIDENCE FROM MEDICARE PAYMENT REFORM
WOS:000728439200007,UNDERSTANDING TAX POLICY: HOW DO PEOPLE REASON?
WOS:000642334600007,DOES INTEGRATION CHANGE GENDER ATTITUDES? THE EFFECT OF RANDOMLY ASSIGNING WOMEN TO TRADITIONALLY MALE TEAMS
WOS:000451281400007,POLITICAL ADVERTISING AND ELECTION RESULTS
WOS:000401981500001,EXPORTING AND FIRM PERFORMANCE: EVIDENCE FROM A RANDOMIZED EXPERIMENT
WOS:000351525000003,Regulating Consumer Financial Products: Evidence from Credit Cards
