UT,TI
WOS:000346660500010,TAX ME IF YOU CAN! OPTIMAL NONLINEAR INCOME TAX BETWEEN COMPETING GOVERNMENTS
WOS:000813236400001,Competing Models*
WOS:000770420700001,Multinational Banks and Financial Stability*
WOS:000743312400001,"BRAHMIN LEFT VERSUS MERCHANT RIGHT: CHANGING POLITICAL CLEAVAGES IN 21 WESTERN DEMOCRACIES, 1948-2020"
WOS:000728439200008,"IDENTITY, BELIEFS, AND POLITICAL CONFLICT"
WOS:000728439200012,"STRICT ID LAWS DON'T STOP VOTERS: EVIDENCE FROM A US NATIONWIDE PANEL, 2008-2018"
WOS:000672777600005,MORTALITY EFFECTS AND CHOICE ACROSS PRIVATE HEALTH INSURANCE PLANS
WOS:000672777600008,RATE-AMPLIFYING DEMAND AND THE EXCESS SENSITIVITY OF LONG-TERM RATES
WOS:000544017700008,WORKPLACE KNOWLEDGE FLOWS
WOS:000489163400009,FIRM-LEVEL POLITICAL RISK: MEASUREMENT AND EFFECTS
WOS:000489162100008,"KINSHIP, COOPERATION, AND THE EVOLUTION OF MORAL SYSTEMS"
WOS:000489161300003,REGIONAL HETEROGENEITY AND THE REFINANCING CHANNEL OF MONETARY POLICY
WOS:000489161300010,"THE MISSION: HUMAN CAPITAL TRANSMISSION, ECONOMIC PERSISTENCE, AND CULTURE IN SOUTH AMERICA"
WOS:000451280400001,THE IMPACTS OF NEIGHBORHOODS ON INTERGENERATIONAL MOBILITY I: CHILDHOOD EXPOSURE EFFECTS
WOS:000435871300004,NATION BUILDING THROUGH FOREIGN INTERVENTION: EVIDENCE FROM DISCONTINUITIES IN MILITARY STRATEGIES
WOS:000412764300003,UNCERTAINTY TRAPS
WOS:000406177000004,DISCRIMINATION AS A SELF-FULFILLING PROPHECY: EVIDENCE FROM FRENCH GROCERY STORES
WOS:000383326100006,"Court Enforcement, Bank Loans, and Firm Investment: Evidence from a Bankruptcy Reform in Brazil*"
WOS:000342236000008,"GENDER, COMPETITIVENESS, AND CAREER CHOICES"
WOS:000342236000003,ACTIVE VS. PASSIVE DECISIONS AND CROWD-OUT IN RETIREMENT SAVINGS ACCOUNTS: EVIDENCE FROM DENMARK
WOS:000336146600008,Inconsistent Regulators: Evidence from Banking
WOS:000946927000001,Justifying Dissent*
WOS:000743312400009,MONETARY INDEPENDENCE AND ROLLOVER CRISES
WOS:000612198000003,THE EFFECTS OF POLICE VIOLENCE ON INNER-CITY STUDENTS
WOS:000593217300009,IDENTIFYING MODERN MACRO EQUATIONS WITH OLD SHOCKS
WOS:000544017700002,SEQUENTIAL BARGAINING IN THE FIELD: EVIDENCE FROM MILLIONS OF ONLINE BARGAINING INTERACTIONS
WOS:000544015700009,NEGOTIATING A BETTER FUTURE: HOW INTERPERSONAL SKILLS FACILITATE INTERGENERATIONAL INVESTMENT
WOS:000507362800009,DIVERSIFICATION THROUGH TRADE
WOS:000507362800005,HOW ACQUISITIONS AFFECT FIRM BEHAVIOR AND PERFORMANCE: EVIDENCE FROM THE DIALYSIS INDUSTRY
WOS:000489162800008,TAKE-UP AND TARGETING: EXPERIMENTAL EVIDENCE FROM SNAP
WOS:000489162100006,"THE MORE WE DIE, THE MORE WE SELL? A SIMPLE TEST OF THE HOME-MARKET EFFECT"
WOS:000489161300004,"BUSTING THE ""PRINCELINGS"": THE CAMPAIGN AGAINST CORRUPTION IN CHINA'S PRIMARY LAND MARKET"
WOS:000451280400002,THE IMPACTS OF NEIGHBORHOODS ON INTERGENERATIONAL MOBILITY II: COUNTY-LEVEL ESTIMATES
WOS:000406177000006,CHOOSE TO LOSE: HEALTH PLAN CHOICES FROM A MENU WITH DOMINATED OPTIONS
WOS:000396771300003,NEWS SHOCKS IN OPEN ECONOMIES: EVIDENCE FROM GIANT OIL DISCOVERIES
WOS:000365535400009,WHY YOU CAN'T FIND A TAXI IN THE RAIN AND OTHER LABOR SUPPLY LESSONS FROM CAB DRIVERS
WOS:000351525000005,Do Markets Erode Social Responsibility?
WOS:000346660500003,A SPARSITY-BASED MODEL OF BOUNDED RATIONALITY
WOS:000854284500001,"New Deal, New Patriots: How 1930s Government Spending Boosted Patriotism During World War II*"
WOS:000743312400012,HOW TO SELL HARD INFORMATION
WOS:000507362800006,ARE REFEREES AND EDITORS IN ECONOMICS GENDER NEUTRAL?
WOS:000489163400006,SHIFT-SHARE DESIGNS: THEORY AND INFERENCE
WOS:000435871300008,FRONTIER KNOWLEDGE AND SCIENTIFIC PRODUCTION: EVIDENCE FROM THE COLLAPSE OF INTERNATIONAL SCIENCE
WOS:000406177000001,"LEMON TECHNOLOGIES AND ADOPTION: MEASUREMENT, THEORY, AND EVIDENCE FROM AGRICULTURAL MARKETS IN UGANDA"
WOS:000380249200003,"BARGAINING, SORTING, AND THE GENDER WAGE GAP: QUANTIFYING THE IMPACT OF FIRMS ON THE RELATIVE PAY OF WOMEN"
WOS:000342236000005,CAPITAL IS BACK: WEALTH-INCOME RATIOS IN RICH COUNTRIES 1700-2010
WOS:000988606100001,Regulating Untaxable Externalities: Are Vehicle Air Pollution Standards Effective and Efficient?*
WOS:000803708500001,Smart Matching Platforms and Heterogeneous Beliefs in Centralized School Choice*
WOS:000785751900001,Sovereign Bonds Since Waterloo*
WOS:000770118700001,Hours and Wages*
WOS:000743312400003,"AFFIRMATIVE ACTION, MISMATCH, AND ECONOMIC MOBILITY AFTER CALIFORNIA'S PROPOSITION 209"
WOS:000672777600003,MEASURING THE EQUILIBRIUM IMPACTS OF CREDIT: EVIDENCE FROM THE INDIAN MICROFINANCE CRISIS
WOS:000672777600012,THE EFFECTS OF FOREIGN MULTINATIONALS ON WORKERS AND FIRMS IN THE UNITED STATES
WOS:000672777600001,UNIONS AND INEQUALITY OVER THE TWENTIETH CENTURY: NEW EVIDENCE FROM SURVEY DATA
WOS:000642334600006,"BELIEF MOVEMENT, UNCERTAINTY REDUCTION, AND RATIONAL UPDATING"
WOS:000593217300003,WAGES AND THE VALUE OF NONEMPLOYMENT
WOS:000489162800001,"EVER FAILED, TRY AGAIN, SUCCEED BETTER: RESULTS FROM A RANDOMIZED EDUCATIONAL INTERVENTION ON GRIT"
WOS:000423802600004,"BAN THE BOX, CRIMINAL RECORDS, AND RACIAL DISCRIMINATION: A FIELD EXPERIMENTu"
WOS:000423802600001,"CLANS, GUILDS, AND MARKETS: APPRENTICESHIP INSTITUTIONS AND GROWTH IN THE PREINDUSTRIAL ECONOMY"
WOS:000423802600005,HUMAN DECISIONS AND MACHINE PREDICTIONS
WOS:000396771300009,"LABOR SUPPLY SHOCKS, NATIVE WAGES, AND THE ADJUSTMENT OF LOCAL EMPLOYMENT"
WOS:000396771300008,WHAT IS THE EXPECTED RETURN ON THE MARKET?
WOS:000380249200009,"INFORMATION, MISALLOCATION, AND AGGREGATE PRODUCTIVITY"
WOS:000351525000010,The Impact of Housing Assistance on Child Outcomes: Evidence from a Randomized Housing Lottery
WOS:000342236000001,THE LIFE CYCLE OF PLANTS IN INDIA AND MEXICO
WOS:000336146600005,Generating Skilled Self-Employment in Developing Countries: Experimental Evidence from Uganda
WOS:000986429900001,Imperfect Risk Sharing and the Business Cycle*
WOS:000867883100001,The Evolution of Access to Public Accommodations in the United States*
WOS:000612198000004,MINIMUM WAGES AND RACIAL INEQUALITY
WOS:000507362800007,WEALTH TAXATION AND WEALTH ACCUMULATION: THEORY AND EVIDENCE FROM DENMARK
WOS:000435871300009,DOUBLE FOR NOTHING? EXPERIMENTAL EVIDENCE ON AN UNCONDITIONAL TEACHER SALARY INCREASE IN INDONESIA
WOS:000406177000005,"WHAT DOES A DEDUCTIBLE DO? THE IMPACT OF COST-SHARING ON HEALTH CARE PRICES, QUANTITIES, AND SPENDING DYNAMICS"
WOS:000396771300007,THE REAL EFFECTS OF LIQUIDITY DURING THE FINANCIAL CRISIS: EVIDENCE FROM AUTOMOBILES
WOS:000380249200006,"RAILROADS AND AMERICAN ECONOMIC GROWTH: A ""MARKET ACCESS'' APPROACH"
WOS:000371602500003,A Unified Theory of Firm Selection and Growth*
WOS:000354733000003,DOES RELIGION AFFECT ECONOMIC GROWTH AND HAPPINESS? EVIDENCE FROM RAMADAN
WOS:000354733000004,COMPARATIVE ADVANTAGE AND OPTIMAL TRADE POLICY
WOS:000351525000002,Waves in Ship Prices and Investment
WOS:000346660500002,EVIDENCE ON SELF-STEREOTYPING AND THE CONTRIBUTION OF IDEAS
WOS:000939688700001,Market Power and Spatial Competition in Rural India*
WOS:000935195800001,Let the Worst One Fail: A Credible Solution to the Too-Big-To-Fail Conundrum*
WOS:000904947200001,Welfare and Output With Income Effects and Taste Shocks*
WOS:000770114200001,The Effects of Joining Multinational Supply Chains: New Evidence from Firm-to-Firm Linkages*
WOS:000489163400001,CAPITALISTS IN THE TWENTY-FIRST CENTURY
WOS:000489162100010,HOUSEHOLD TIME USE AMONG OLDER COUPLES: EVIDENCE AND IMPLICATIONS FOR LABOR SUPPLY PARAMETERS
WOS:000489161300008,FORWARD AND SPOT EXCHANGE RATES IN A MULTI-CURRENCY WORLD
WOS:000423802600002,EXCESS VOLATILITY: BEYOND DISCOUNT RATES
WOS:000406177000008,"CREDIT CRISES, PRECAUTIONARY SAVINGS, AND THE LIQUIDITY TRAP"
WOS:000396771300001,"THINKING, FAST AND SLOW? SOME FIELD EXPERIMENTS TO REDUCE CRIME AND DROPOUT IN CHICAGO"
WOS:000371602500004,The Effects of School Spending on Educational and Economic Outcomes: Evidence from School Finance Reforms*
WOS:000330451700010,"School Segregation, Educational Attainment, and Crime: Evidence from the End of Busing in Charlotte-Mecklenburg"
WOS:000330451700006,"Optimal money creation in ""pure currency"" economies: a conjecture"
WOS:000986430600001,Overreaction in Expectations: Evidence and Theory*
WOS:000743312400008,"THE INVESTMENT NETWORK, SECTORAL COMOVEMENT, AND THE CHANGING US BUSINESS CYCLE"
WOS:000593217300007,WATERING DOWN ENVIRONMENTAL REGULATION IN CHINA
WOS:000544015700005,THE INSTITUTIONAL FOUNDATIONS OF RELIGIOUS POLITICS: EVIDENCE FROM INDONESIA
WOS:000489162800003,"THE RATE OF RETURN ON EVERYTHING, 1870-2015"
WOS:000451281400008,RELIGIOUS COMPETITION AND REALLOCATION: THE POLITICAL ECONOMY OF SECULARIZATION IN THE PROTESTANT REFORMATION
WOS:000401981500002,FISCAL POLICY AND DEBT MANAGEMENT WITH INCOMPLETE MARKETS
WOS:000396771300002,OPTIMAL TIME-CONSISTENT GOVERNMENT DEBT MATURITY
WOS:000380249200010,PRODUCT DESIGN IN SELECTION MARKETS
,SITE SELECTION BIAS IN PROGRAM EVALUATION
WOS:000359638900009,PROPERTY RIGHTS OVER MARITAL TRANSFERS
WOS:000936189300001,The Fractured-Land Hypothesis*
WOS:000891996300001,Web of Power: How Elite Networks Shaped War and Politics in China*
WOS:000867882500001,The Long-Term Effects of Universal Preschool in Boston*
WOS:000826159000011,Predictable Effects of Visual Salience in Experimental Decisions and Games*
WOS:000764683400001,Firm Organization with Multiple Establishments*
WOS:000544017700003,WHAT YOU SEE IS ALL THERE IS
WOS:000544015700010,CHOICE SIMPLIFICATION: A THEORY OF MENTAL BUDGETING AND NAIVE DIVERSIFICATION
WOS:000507362800003,PRODUCTIVITY AND MISALLOCATION IN GENERAL EQUILIBRIUM
WOS:000507362800001,THE RETURN TO PROTECTIONISM
WOS:000489163400004,HOW WIDE IS THE FIRM BORDER?
WOS:000489161300007,CONSEQUENCES OF THE CLEAN WATER ACT AND THE DEMAND FOR WATER QUALITY
WOS:000451280400006,LONG-RANGE GROWTH: ECONOMIC DEVELOPMENT IN THE GLOBAL NETWORK OF AIR LINKS
WOS:000388576700002,Worms at Work: Long-run Impacts of a Child Health Investment
WOS:000380249200004,"WEALTH, HEALTH, AND CHILD DEVELOPMENT: EVIDENCE FROM ADMINISTRATIVE DATA ON SWEDISH LOTTERY PLAYERS"
WOS:000371602500009,The Effects of Youth Employment: Evidence from New York City Lotteries*
WOS:000905046000001,Why do Borrowers Default on Mortgages?*
WOS:000892024400001,Does Directed Innovation Mitigate Climate Damage? Evidence from US Agriculture*
WOS:000813228500001,INVESTING IN INFANTS: THE LASTING EFFECTS OF CASH TRANSFERS TO NEW FAMILIES
WOS:000785803800001,The Quality and Efficiency of Public and Private Firms: Evidence from Ambulance Services*
WOS:000672777600010,"O BROTHER, WHERE START THOU? SIBLING SPILLOVERS ON COLLEGE AND MAJOR CHOICE IN FOUR COUNTRIES"
WOS:000544017700009,"RATIONAL INATTENTION, COMPETITIVE SUPPLY, AND PSYCHOMETRICS"
WOS:000489163400002,WHAT DO WORKPLACE WELLNESS PROGRAMS DO? EVIDENCE FROM THE ILLINOIS WORKPLACE WELLNESS STUDY
WOS:000489162800005,WHO PROFITS FROM PATENTS? RENT-SHARING AT INNOVATIVE FIRMS
WOS:000489161300009,FROM HYPERINFLATION TO STABLE PRICES: ARGENTINA'S EVIDENCE ON MENU COST MODELS
WOS:000412764300001,MEASURING THE SENSITIVITY OF PARAMETER ESTIMATES TO ESTIMATION MOMENTS
WOS:000388576700001,Measuring Economic Policy Uncertainty
WOS:000380249200005,MEASURING INCOME TAX EVASION USING BANK CREDIT: EVIDENCE FROM GREECE
WOS:000354733000008,THE RESPONSE OF DRUG EXPENDITURE TO NONLINEAR CONTRACT DESIGN: EVIDENCE FROM MEDICARE PART D
WOS:000351525000007,Patents and Cumulative Innovation: Causal Evidence from the Courts
WOS:000342236000002,TRADE AND THE TOPOGRAPHY OF THE SPATIAL ECONOMY
WOS:000342236000006,LEARNING THROUGH NOTICING: THEORY AND EVIDENCE FROM A FIELD EXPERIMENT
WOS:000330451700004,National Institutions and Subnational Development in Africa
WOS:000942114200001,How do Campaigns Shape Vote Choice? Multicountry Evidence from 62 Elections and 56 TV Debates*
WOS:000885663500001,When Should You Adjust Standard Errors for Clustering?*
WOS:000728439200006,INDEBTED DEMAND
WOS:000593217300005,MISALLOCATION IN THE MARKET FOR INPUTS: ENFORCEMENT AND THE ORGANIZATION OF PRODUCTION
WOS:000489162800010,"INPUTS, INCENTIVES, AND COMPLEMENTARITIES IN EDUCATION: EXPERIMENTAL EVIDENCE FROM TANZANIA"
WOS:000451280400009,STATUS GOODS: EXPERIMENTAL EVIDENCE FROM PLATINUM CREDIT CARDS
WOS:000451280400004,HIGH-FREQUENCY IDENTIFICATION OF MONETARY NON-NEUTRALITY: THE INFORMATION EFFECT
WOS:000401981500003,"TECHNOLOGICAL INNOVATION, RESOURCE ALLOCATION, AND GROWTH"
WOS:000383326100009,Rethinking the Effects of Financial Globalization*
WOS:000371602500006,Ghost-House Busters: The Electoral Response to a Large Anti-Tax Evasion Program*
WOS:000354733000011,"NOTE ON PROPOSITION 1(Î±-<i>b</i>) IN DAL BO, FINAN AND ROSSI (2013)-STRENGTHENING STATE CAPABILITIES: THE ROLE OF FINANCIAL INCENTIVES IN THE CALL TO PUBLIC SERVICE (vol 128, pg 1169, 2013)"
WOS:000351525000004,Does Working from Home Work? Evidence from a Chinese Experiment
WOS:001065157900001,What We Teach About Race and Gender: Representation in Images and Text of Children's Books
WOS:000999691800001,The Other Great Migration: Southern Whites and the New Right*
WOS:000855414400001,Asset Specificity of Nonfinancial Firms*
WOS:000770421700001,The Slope of the Phillips Curve: Evidence from US States*
WOS:000728439200010,MANAGING EXPECTATIONS: INSTRUMENTS VERSUS TARGETS
WOS:000743312400005,"FLEXIBLE WAGES, BARGAINING, AND THE GENDER GAP"
WOS:000642334600004,THE ENVIRONMENTAL BIAS OF TRADE POLICY
WOS:000544015700008,CAPITAL ACCUMULATION AND STRUCTURAL TRANSFORMATION
WOS:000489162100004,THE UNEQUAL GAINS FROM PRODUCT INNOVATIONS: EVIDENCE FROM THE US RETAIL SECTOR
WOS:000451280400003,INTERFIRM RELATIONSHIPS AND BUSINESS PERFORMANCE
WOS:000435871300007,RECOMMENDER SYSTEMS AS MECHANISMS FOR SOCIAL LEARNING
WOS:000423802600007,"THE GLOBAL DISTRIBUTION OF ECONOMIC ACTIVITY: NATURE, HISTORY, AND THE ROLE OF TRADE"
WOS:000412764300008,CAPITAL ALLOCATION AND PRODUCTIVITY IN SOUTH EUROPE
WOS:000406177000011,"FIELD OF STUDY, EARNINGS, AND SELF-SELECTION (vol 131, pg 1057, 2016)"
WOS:000365535400007,RADIO AND THE RISE OF THE NAZIS IN PREWAR GERMANY
WOS:000365535400004,COORDINATION AND CRISIS IN MONETARY UNIONS
WOS:000351525000001,Very Long-Run Discount Rates
WOS:000336146600010,Regional Favoritism
WOS:001010970300001,Economic Consequences of Kinship: Evidence From US Bans on Cousin Marriage*
WOS:000946888200001,The Political Economics of Green Transitions*
WOS:000836125300001,Economic Agents as Imperfect Problem Solvers*
WOS:000612198000002,BANKING CRISES WITHOUT PANICS
WOS:000489163400008,PROMOTIONS AND THE PETER PRINCIPLE
WOS:000489162800009,"REGRESSIVE SIN TAXES, WITH AN APPLICATION TO THE OPTIMAL SODA TAX"
WOS:000489162800007,"TRADE, MERCHANTS, AND THE LOST CITIES OF THE BRONZE AGE"
WOS:000451281400003,WHAT DO EXPORTERS KNOW?
WOS:000435871300002,THE MORALE EFFECTS OF PAY INEQUALITY
WOS:000396771300004,GLOBAL PRODUCTION WITH EXPORT PLATFORMS
WOS:000388576700006,Evaluating Public Programs with Close Substitutes: The Case of Head Start
WOS:000380249200002,"LIGHTS, CAMERA ... INCOME! ILLUMINATING THE NATIONAL ACCOUNTS-HOUSEHOLD SURVEYS DEBATE"
WOS:000371602500001,Rare Disasters and Exchange Rates*
WOS:000371602500007,"Dynamic Selection: An Idea Flows Theory of Entry, Trade, and Growth*"
WOS:000818056100001,Labor Market Returns and the Evolution of Cognitive Skills: Theory and Evidence*
WOS:000767684700001,"War, Socialism, and the Rise of Fascism: an Empirical Exploration*"
WOS:000743312400006,REALLOCATION EFFECTS OF THE MINIMUM WAGE
WOS:000743312400007,TAXATION AND INNOVATION IN THE TWENTIETH CENTURY
WOS:000743312400002,WOULD ELIMINATING RACIAL DISPARITIES IN MOTOR VEHICLE SEARCHES HAVE EFFICIENCY COSTS?
WOS:000672777600004,REDRAWING THE MAP OF GLOBAL CAPITAL FLOWS: THE ROLE OF CROSS-BORDER FINANCING AND TAX HAVENS
WOS:000593217300001,GOD INSURES THOSE WHO PAY? FORMAL INSURANCE AND RELIGIOUS OFFERINGS IN GHANA
WOS:000489162100003,WHO BECOMES AN INVENTOR IN AMERICA? THE IMPORTANCE OF EXPOSURE TO INNOVATION
WOS:000489162100007,STRATEGIC DEFAULT IN THE INTERNATIONAL COFFEE MARKET
WOS:000451280400010,DO ENERGY EFFICIENCY INVESTMENTS DELIVER? EVIDENCE FROM THE WEATHERIZATION ASSISTANCE PROGRAM
WOS:000435871300006,TRANSPARENCY AND DELIBERATION WITHIN THE FOMC: A COMPUTATIONAL LINGUISTICS APPROACH
WOS:000412764300012,"LEVERAGING LOTTERIES FOR SCHOOL VALUE-ADDED: TESTING AND ESTIMATION (vol 132, pg 871, 2017)"
WOS:000388576700003,Sources of Geographic Variation in Health Care: Evidence From Patient Migration
WOS:000383326100003,"Decision Making Under the Gambler's Fallacy: Evidence from Asylum Judges, Loan Officers, and Baseball Umpires*"
WOS:000380249200008,ECONOMIC ACTIVITY AND THE SPREAD OF VIRAL DISEASES: EVIDENCE FROM HIGH FREQUENCY DATA
WOS:000380249200001,WEALTH INEQUALITY IN THE UNITED STATES SINCE 1913: EVIDENCE FROM CAPITALIZED INCOME TAX DATA
WOS:000365535400010,"RISK, RETURNS, AND MULTINATIONAL PRODUCTION"
WOS:000354733000009,SPENDING-BIASED LEGISLATORS: DISCIPLINE THROUGH DISAGREEMENT
WOS:000336146600002,"Currency Unions, Product Introductions, and the Real Exchange Rate"
WOS:001022028300001,Buyers' Sourcing Strategies and Suppliers' Markups in Bangladeshi Garments*
WOS:000768142500001,The Gender Gap in Self-Promotion*
WOS:000593217300006,THE MAKING OF THE MODERN METROPOLIS: EVIDENCE FROM LONDON
WOS:000489162100002,EXCHANGE ARRANGEMENTS ENTERING THE TWENTY-FIRST CENTURY: WHICH ANCHOR WILL HOLD?
WOS:000489161300002,THE PRICE AIN'T RIGHT? HOSPITAL PRICES AND HEALTH SPENDING ON THE PRIVATELY INSURED
WOS:000451281400002,EXCESS SENSITIVITY OF HIGH-INCOME CONSUMERS
WOS:000401981500006,LABOR MARKETS AND POVERTY IN VILLAGE ECONOMIES
WOS:000388576700010,The Short-term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya
WOS:000383326100005,Quantifying the Sources of Firm Heterogeneity*
WOS:000371602500010,"Efficiency, Welfare, and Political Competition*"
WOS:000359638900004,PREVENTIVES VERSUS TREATMENTS
WOS:000330451700008,Migration and Wage Effects of Taxing Top Earners: Evidence from the Foreigners' Tax Scheme in Denmark
